Date,Open,High,Low,Close,Adj Close,Volume
2022-08-15,60500.0,61900.0,59800.0,60000.0,56780.76953125,55654543.0
2022-08-22,59000.0,60900.0,58600.0,58600.0,55455.8828125,43039341.0
2022-08-29,58700.0,59900.0,56800.0,57100.0,54036.36328125,65265620.0
2022-09-05,57200.0,57600.0,55600.0,55600.0,52616.84765625,42887956.0
2022-09-12,57000.0,58500.0,55500.0,56400.0,53373.921875,67091517.0
2022-09-19,56400.0,57000.0,53600.0,53900.0,51008.0546875,64256088.0
2022-09-26,53800.0,54400.0,51800.0,53100.0,50250.98046875,73007747.0
2022-10-03,55300.0,57300.0,54500.0,56200.0,53550.0859375,73438664.0
2022-10-10,54400.0,57000.0,54000.0,56600.0,53931.23046875,80197593.0
2022-10-17,56700.0,57500.0,55100.0,57500.0,54788.78515625,72989570.0
2022-10-24,57000.0,60100.0,57000.0,59400.0,56599.203125,99911808.0
2022-10-31,59900.0,60300.0,58100.0,60200.0,57361.48828125,72779815.0
2022-11-07,60500.0,63200.0,60400.0,61900.0,58981.328125,89417702.0
2022-11-14,62200.0,62700.0,60800.0,61400.0,58504.91015625,60133142.0
2022-11-21,60900.0,61700.0,59800.0,60100.0,57266.19921875,41568314.0
2022-11-28,59900.0,63200.0,59800.0,60300.0,57456.7734375,72513479.0
2022-12-05,59800.0,60600.0,58500.0,59500.0,56694.49609375,58541881.0
2022-12-12,59600.0,60600.0,58300.0,59500.0,56694.49609375,46694180.0
2022-12-19,59000.0,59100.0,57700.0,57900.0,55169.9296875,46948180.0
2022-12-26,58000.0,58400.0,55200.0,55500.0,52883.1015625,46659820.0
2023-01-02,55400.0,60700.0,54500.0,60700.0,58199.53125,85393023.0
2023-01-09,60200.0,61600.0,59900.0,61100.0,58583.046875,65823409.0
2023-01-16,61200.0,62300.0,59900.0,61800.0,59254.21484375,43870314.0
2023-01-23,61800.0,65000.0,61800.0,63300.0,60692.421875,197315.0
2023-01-30,63500.0,64000.0,61000.0,61600.0,59062.453125,520095.0
2023-02-06,61900.0,63300.0,61600.0,62900.0,60308.90234375,227647.0
2023-02-13,63600.0,63900.0,61800.0,62700.0,60117.13671875,228883.0
2023-02-20,62700.0,62800.0,60200.0,60500.0,58007.76953125,11343783.0
2023-02-27,60800.0,61800.0,60500.0,61500.0,58966.5703125,51153550.0
2023-03-06,61400.0,61400.0,59100.0,60000.0,57528.36328125,64651831.0
2023-03-13,59400.0,61300.0,59000.0,60200.0,57720.125,56949553.0
2023-03-20,60500.0,63300.0,60100.0,62100.0,59541.8515625,61996095.0
2023-03-27,62400.0,64000.0,62100.0,63100.0,60500.6640625,64582115.0
2023-04-03,63400.0,66300.0,62300.0,65700.0,63358.34765625,81542696.0
2023-04-10,66200.0,66600.0,64700.0,65300.0,62972.60546875,76098626.0
2023-04-17,65900.0,66000.0,64600.0,65200.0,62876.171875,58084417.0
2023-04-24,65300.0,65900.0,63300.0,65500.0,63165.4765625,63336894.0
2023-05-01,66000.0,66300.0,64700.0,65900.0,63551.22265625,42470126.0
2023-05-08,65800.0,65800.0,63600.0,64500.0,62201.1171875,50939427.0
2023-05-15,65800.0,69000.0,64800.0,68500.0,66058.5546875,72331518.0
2023-05-22,68500.0,70400.0,68000.0,70300.0,67794.390625,50535210.0
2023-05-29,71300.0,72700.0,70600.0,71700.0,69144.5078125,92660907.0
2023-06-05,71700.0,72400.0,70000.0,71000.0,68469.453125,61076677.0
2023-06-12,71700.0,72300.0,70900.0,71200.0,68662.3203125,65857908.0
2023-06-19,70700.0,72500.0,70100.0,72400.0,69819.546875,56466878.0
2023-06-26,72500.0,73400.0,71700.0,73000.0,70398.1640625,52873003.0
2023-07-03,73400.0,73600.0,69200.0,69500.0,67357.3828125,66325430.0
2023-07-10,70200.0,73500.0,70100.0,73300.0,71040.2265625,62912820.0
2023-07-17,73200.0,73500.0,69400.0,70400.0,68229.6328125,62274565.0
2023-07-24,70000.0,72400.0,68100.0,69800.0,67648.1328125,101048448.0
2023-07-31,70100.0,71200.0,67600.0,68500.0,66388.2109375,69550062.0
2023-08-07,69000.0,69600.0,66900.0,67300.0,65225.20703125,61285074.0
2023-08-14,67300.0,67300.0,65800.0,66600.0,64546.79296875,45418303.0
2023-08-21,67200.0,68700.0,66300.0,66800.0,64740.609375,47951147.0
2023-08-28,66900.0,72900.0,66400.0,71200.0,69004.96875,90284935.0
2023-09-04,70900.0,71500.0,69600.0,70800.0,68617.3046875,59959680.0
2023-09-11,70800.0,72300.0,70200.0,70200.0,68035.796875,82550042.0
2023-09-18,70400.0,70800.0,68300.0,69400.0,67260.4609375,56969895.0
2023-09-25,70000.0,70000.0,68200.0,68400.0,66291.3046875,28029961.0
2023-10-02,68400.0,68400.0,66000.0,66000.0,64299.75390625,53855989.0
2023-10-09,66200.0,69700.0,66200.0,67300.0,65566.265625,86733316.0
2023-10-16,67700.0,70500.0,67400.0,68400.0,66637.9296875,74607903.0
2023-10-23,68700.0,68800.0,66700.0,67300.0,65566.265625,60394033.0
2023-10-30,67600.0,70900.0,66900.0,70900.0,69073.53125,77164902.0
2023-11-06,70600.0,71400.0,69500.0,70400.0,68586.40625,61362680.0
2023-11-13,71000.0,73000.0,70600.0,72700.0,70827.1484375,67681913.0
2023-11-20,73100.0,73400.0,71100.0,71300.0,69463.2109375,43384180.0
2023-11-27,71400.0,72900.0,71300.0,72600.0,70729.7265625,58451279.0
2023-12-04,72300.0,73000.0,71100.0,73000.0,71119.421875,49836209.0
2023-12-11,73300.0,74300.0,72500.0,72900.0,71022.0,79553371.0
2023-12-18,73000.0,76300.0,72800.0,75900.0,73944.7109375,53772162.0
2023-12-25,76100.0,78500.0,75700.0,78500.0,76477.7421875,51613487.0
2024-01-01,78200.0,79800.0,76100.0,76500.0,74882.171875,76613970.0
2024-01-08,77400.0,77700.0,72700.0,73900.0,72337.1484375,119966898.0
2024-01-15,73500.0,76000.0,70700.0,75100.0,73511.78125,98334274.0
2024-01-22,75700.0,75800.0,73300.0,74400.0,72826.5703125,64521215.0
2024-01-29,75000.0,75300.0,72500.0,74300.0,72728.6953125,81810913.0
2024-02-05,74300.0,75500.0,73300.0,74100.0,72532.921875,51936407.0
2024-02-12,74800.0,75200.0,72500.0,73800.0,72239.265625,74693475.0
2024-02-19,73700.0,74200.0,72200.0,72800.0,71260.4140625,72288424.0
2024-02-26,73100.0,75000.0,72000.0,74900.0,73316.0,69384717.0
2024-03-04,74600.0,74800.0,72200.0,72400.0,70868.8671875,84581846.0
2024-03-11,72600.0,74500.0,72100.0,72800.0,71260.4140625,84901230.0
2024-03-18,72300.0,79900.0,71700.0,78200.0,76546.2109375,155480919.0
2024-03-25,79700.0,83300.0,79200.0,82000.0,80265.8515625,120303780.0
2024-04-01,82900.0,86000.0,82900.0,84500.0,83088.859375,130657209.0
2024-04-08,84500.0,84900.0,81200.0,82200.0,80827.265625,92989507.0
2024-04-15,81200.0,81300.0,75100.0,76100.0,74829.1328125,137718706.0
2024-04-22,76400.0,78800.0,75500.0,76700.0,75419.1171875,83853086.0
2024-04-29,77000.0,79000.0,76600.0,77600.0,76304.09375,51059536.0
2024-05-06,79600.0,81500.0,77600.0,78400.0,77090.7265625,93716847.0
2024-05-13,78600.0,80300.0,77200.0,78900.0,77582.3828125,68128754.0
2024-05-20,78500.0,79100.0,74000.0,77200.0,75910.765625,123656656.0
2024-05-27,76500.0,78200.0,73500.0,75700.0,74435.828125,119240264.0
2024-06-03,74900.0,78600.0,74900.0,75700.0,74435.828125,73064125.0
